identifiant,metier,competences
145mstw,administrateur linux,"améliorer un système de information . analyser le performance de un système de information . conseiller de équipe de développement , de production et de utilisateur . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . traiter le information collecter , classer et mettre à jour"
146crqn,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
145yckz,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . travail en équipe . autonomie . rigueur"
146bsgc,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . travail en équipe . autonomie . sens de le organisation"
146dctx,administrateur linux,"administrer un système de information si . améliorer un système de information . analyser le performance de un système de information . attribuer un ressource logique et matériel de réseau . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . gérer le droit de accès de utilisateur . installer un équipement informatique . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . paramétrage de logiciel . principe de intégration de matériel et de logiciel . protection de donnée numérique . règlement général européen sur le protection de donnée rgpd . règle de installation informatique . réaliser le intervention de télémaintenance de équipement de utilisateur . sélectionner le équipement informatique . actualiser le système de information en fonction de évolution . former un public à le utilisation de un équipement . système de messagerie . réactivité . travail en équipe . autonomie"
146fcgv,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
146rmyy,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . réactivité"
146vxxz,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
146wcjm,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . salondunumériqu"
147bmqb,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
147fdtr,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . salondunumériqu"
143wqnk,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
147fgnt,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
