metier,identifiant,competences,savoir-etre
Technicien télécom,147KLFT,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Chiffrage/calcul de coût,Travail en équipe. Autonomie. Sens de l'organisation
Technicien télécom,147KCBL,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs,Réactivité. Sens de l'organisation. Rigueur
Technicien télécom,147HXSX,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs,Sens de la communication. Autonomie. Rigueur
Technicien télécom,147HXKR,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs,Sens de la communication. Autonomie. Rigueur
Technicien télécom,147HLVH,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs,Capacité d'adaptation. Travail en équipe. Rigueur
Technicien télécom,147GGWD,,
Technicien télécom,147DYYT,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux,
Technicien télécom,147BKHL,Installer l'équipement sur le site et le connecter aux réseaux extérieurs,
Technicien télécom,147BBXC,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Assister et / ou aider un client. Connaissances en câblage. informatique. Intervenir sur des réseaux. Systèmes d'alarme. systèmes de vidéo surveillance IP. Systèmes téléphoniques. Téléphonie / Routeurs / Switch. Équipements de télécommunication,Capacité d'adaptation. Autonomie
Technicien télécom,147BBTX,"Actualiser et faire évoluer les équipements de télécommunication ou de courants faibles. Assembler les éléments de l'équipement. Assister un utilisateur à distance. Configurer ou paramétrer l'équipement de télécommunication, de courants faibles et effectuer les essais fonctionnels. Connecter une boîte de raccordements. Conseiller une clientèle ou un public. Identifier les matériels à intégrer. Informatique. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble. Réseaux informatiques et télécoms. Systèmes de sécurité-incendie. Équipements de télécommunication",
Technicien télécom,146YTTM,"Automatisme. Caractéristiques des dossiers de maintenance. Caractéristiques des dossiers techniques. Identifier des modalités d'intervention. Réparer l'installation par le remplacement et la remise en état des dispositifs électriques, électroniques, mécaniques, pneumatiques, hydrauliques",
Technicien télécom,146YCRH,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques",
Technicien télécom,146XVMX,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble,
Technicien télécom,146XVCW,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble,
Technicien télécom,146XRVW,PREMIS B. Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné,Travail en équipe. Sens de l'organisation. Rigueur
Technicien télécom,146XKPL,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné,
Technicien télécom,146SXFZ,,Autonomie. Sens de l'organisation. Rigueur
Technicien télécom,146RWVX,"Assembler les éléments de l'équipement. Configurer ou paramétrer l'équipement de télécommunication, de courants faibles et effectuer les essais fonctionnels. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux. Réseaux informatiques et télécoms. Équipements de télécommunication",Capacité d'adaptation. Autonomie. Rigueur
Technicien télécom,146PBXK,,Curiosité. Autonomie. Rigueur
Technicien télécom,146NTYZ,"Concevoir un projet télécom. Définir et élaborer les spécifications fonctionnelles et techniques d'un réseau, d'équipements télécoms (matériel, logiciel, implantation). Logiciels de modélisation et simulation. Recueillir et définir les besoins de l'entreprise, des clients, des utilisateurs en matière de systèmes télécoms (capacité, fiabilité, sécurité, ...)",
Technicien télécom,146MTKM,,
